DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	1978	8	9	10	32	46	1242	0	14	0	5	18.24	173.52	-16.25	51.58	0.3399	2443729.939421296	867.6	91.2	0.4097222222222222	1671
g	1978	8	11	10	43	44	1242	13	65	7	32	17.0	176.73	13.51	309.63	0.2918	2443731.947037037	5655.36	544.0	0.5750555555555555	1671
g	1978	8	12	9	49	11	1242	0	18	0	9	18.29	176.88	26.33	297.91	0.4821	2443732.9091550927	1591.92	164.61	0.6462777777777777	1671
g	1978	8	13	11	4	22	1242	4	33	2	23	18.12	172.07	35.46	294.44	0.6134	2443733.9613657407	3957.61	416.76000000000016	0.6970000000000001	1671
g	1978	8	14	8	22	11	1242	0	9	0	7	20.21	169.29	44.39	293.05	0.7148	2443734.848738426	1185.03	141.47	0.7466111111111109	1671
g	1978	8	16	9	36	9	1242	0	2	0	2	26.81	164.52	66.76	296.39	0.9172	2443736.9001041665	329.04	53.62	0.8708888888888888	1671
g	2015	12	13	8	59	29	12465s	0	8	0	5	10.97	130.07	-29.6	67.61	0.5269	2457369.8746412043	650.3499999999998	54.85	0.33555555555555555	2171
g	2015	12	14	8	7	29	12465s	0	16	0	8	12.53	130.03	-16.97	50.86	0.3692	2457370.8385300925	1040.24	100.24	0.4057222222222222	2171
g	2015	12	15	8	4	59	12465s	0	19	0	10	12.95	124.9	-8.87	24.49	0.3163	2457371.836793981	1249.0	129.5	0.4507222222222222	2171
g	2015	12	16	9	25	15	12465s	0	20	0	11	11.62	126.42	6.52	333.03	0.2454	2457372.8925347216	1390.62	127.82	0.5362222222222222	2171
g	2015	12	18	8	45	33	12465s	0	5	0	4	14.76	130.91	37.01	295.01	0.6452	2457374.8649652777	523.64	59.04	0.7056111111111111	2171
g	1981	5	15	13	0	1	3115	0	1	0	1	25.44	134.37	-46.12	54.91	0.7977	2444740.0416782405	134.37	25.44	0.2437777777777778	1708
g	1981	5	19	13	18	0	3115	0	5	0	4	27.84	133.92	6.51	348.57	0.5121	2444744.0541666667	535.68	111.36	0.5361666666666667	1708
g	1981	5	21	5	27	11	3115	0	8	0	6	29.87	129.66	24.36	325.77	0.6367	2444745.7272106484	777.96	179.22	0.6353333333333333	1708
g	2015	5	7	6	7	10	12334m	0	3	0	2	-28.75	182.78	-4.74	170.33	0.4336	2457149.754976852	365.56	-57.5	0.4736666666666667	2163
g	2015	5	9	6	54	37	12334m	0	7	0	4	-29.5	182.56	21.96	216.22	0.5529999999999999	2457151.787928241	730.24	-118.0	0.622	2163
g	2015	5	10	8	24	42	12334m	0	2	0	1	-32.29	163.48	16.87	206.7	0.5479999999999999	2457152.850486111	163.48	-32.29	0.5937222222222223	2163
g	1990	12	28	5	42	0	6430	0	13	0	10	-11.41	201.66	-40.35	104.52	0.6578	2448253.7375	2016.6	-114.1	0.2758333333333333	1837
