5	1982	1723	3789	3819
15	1982	1723	3809	3844
10	1982	1723	3809	3852
15	1982	1724	3829	3875a
5	1982	1724	3844	3889m
10	1982	1725	3856	3890b
5	1982	1725	3856	3895
10	1982	1725	3837m	3882
5	1982	1725	3879	3919
5	1982	1725	3883	3921
5	1982	1726	3902	3937
10	1982	1726	3919	3955
15	1982	1726	3921	3964
5	1982	1727	3946	3977
5	1982	1727	3961	3997
15	1982	1727	3961	4001d
10	1982	1728	3987	4017
5	1982	1728	3995	4017
15	1982	1728	3994	4025
10	1982	1728	4000	4031
5	1982	1729	4007	4033
10	1982	1729	4026	4053m
10	1982	1729	4033	4068
5	1983	1731	4072	4092
10	1983	1731	4072	4095
5	1983	1731	4075	4103
5	1983	1731	4077	4098
15	1983	1731	4077	4103
5	1983	1731	4079	4102
10	1983	1732	4095	4118
5	1983	1732	4095	4116m
5	1983	1732	4095	4121
5	1983	1732	4103	4123
15	1983	1732	4102	4125
5	1983	1732	4104	4127
5	1983	1732	4106	4120
5	1983	1732	4105	4131
5	1983	1733	4121	4149
15	1983	1733	4121	4149m
10	1983	1733	4128a	4150a
5	1983	1733	4134	4150
15	1983	1733	4134	4149a
15	1983	1733	4137	4163
5	1983	1734	4149	4176
15	1983	1734	4149m	4172
10	1983	1734	4153	4184a
10	1983	1734	4156	4192
10	1983	1734	4157	4193a
15	1983	1734	4162	4192
10	1983	1734	4162	4193
5	1983	1734	4165	4199
5	1983	1735	4184	4206b
5	1983	1735	4188	4208n
10	1983	1735	4193	4213b
15	1983	1735	4199	4219
5	1983	1735	4199	4222c
5	1983	1736	4204	4234
15	1983	1736	4222c	4252n
10	1983	1736	4224	4260
15	1983	1736	4225	4250m
10	1983	1737	4236	4267a
10	1983	1737	4249	4279
15	1983	1737	4251	4280
5	1983	1737	4251	4278a
5	1983	1737	4260	4278
5	1983	1737	4256	4281
5	1983	1737	4263	4293
15	1983	1737	4263	4299a
10	1983	1737	4267	4296
15	1983	1737	4268	4299
5	1983	1738	4280	4306
5	1983	1738	4279	4312
5	1983	1738	4296	4323a
15	1983	1739	4300	4323a
5	1983	1739	4307	4332
5	1983	1739	4310	4332m
5	1983	1739	4313n	4334
5	1983	1739	4320	4337b
10	1983	1739	4327	4342
5	1983	1739	4327	4342a
5	1983	1740	4332	4351
10	1983	1741	4360	4372
10	1984	1743	4388	4409
5	1984	1744	4392	4414
5	1984	1744	4393	4413
5	1984	1744	4396	4417
5	1984	1744	4408	4427
10	1984	1744	4413	4431
15	1984	1744	4414	4430
5	1984	1744	4414	4431
5	1984	1746	4431	4460
5	1984	1746	4455	4474
5	1984	1747	4469	4487
15	1984	1748	4482	4503
15	1984	1748	4484	4507
5	1984	1749	4509	4536
15	1984	1749	4509	4532
5	1984	1749	4513	4539
5	1984	1750	4537	4553
5	1984	1752	4567	4579b
5	1984	1752	4572	4580
5	1984	1755	4588a	4601
10	1984	1755	4600	4609a
5	1985	1757	4617	4626
5	1985	1762	4665	4674
10	1986	1770	4710	4711
10	1986	1771	4712	4714
10	1986	1771	4713	4717
15	1986	1780	4748	4754
15	1986	1780	4749	4754
5	1987	1791	4824	4841
5	1987	1791	4835	4847
5	1987	1792	4849	4859
10	1987	1794	4869	4882
5	1987	1794	4869	4888
5	1987	1794	4881	4891
5	1987	1795	4896	4906
10	1987	1796	4910	4922a
15	1988	1797	4921	4943a
5	1988	1801	5001	5025
10	1988	1801	5002	5028
5	1988	1801	5003	5025
5	1988	1801	5005	5028
15	1988	1802	5027	5054m
5	1988	1802	5027	5055
10	1988	1803	5047	5074
5	1988	1803	5056	5077
15	1988	1804	5081	5108
5	1988	1804	5081	5113
5	1988	1806	5131	5169
10	1988	1806	5137	5175
15	1988	1808	5227	5261a
5	1988	1808	5227	5263
5	1988	1809	5246	5275
15	1988	1809	5247	5272
5	1988	1809	5275	5312
15	1988	1810	5282	5319
10	1988	1810	5288	5312
5	1988	1810	5292	5326
5	1988	1810	5301	5330
5	1989	1810	5310	5339
5	1989	1810	5311	5340
15	1989	1810	5312	5341
5	1989	1811	5330	5382
5	1989	1811	5335	5368
5	1989	1812	5356	5398
5	1989	1812	5349a	5380a
5	1989	1813	5398	5438
10	1989	1813	5414	5449m
5	1989	1813	5417	5454
5	1989	1813	5414m	5449
5	1989	1813	5428	5464
5	1989	1814	5444d	5482
5	1989	1814	5460	5494
10	1989	1814	5464	5510
5	1989	1815	5480	5515
5	1989	1815	5481	5521
5	1989	1815	5497	5550
10	1989	1815	5500	5530
5	1989	1815	5505	5552
15	1989	1816	5511	5556
5	1989	1816	5511	5561
5	1989	1816	5515	5556
5	1989	1816	5521	5574
5	1989	1816	5521	5572
15	1989	1816	5524	5572
5	1989	1816	5533	5586
5	1989	1817	5572	5612
15	1989	1818	5629	5669
10	1989	1819	5653	5702
5	1989	1819	5653	5699
15	1989	1819	5671	5708
5	1989	1819	5671	5712
5	1989	1820	5702	5740
5	1989	1820	5698	5744
5	1989	1820	5712	5761
10	1989	1821	5740	5783m
10	1989	1821	5739	5787
15	1989	1821	5768	5802
5	1989	1821	5775	5805
5	1989	1822	5809	5857
10	1989	1822	5814	5849
10	1989	1822	5822	5860
15	1989	1823	5823	5857b
5	1989	1823	5844	5874m
5	1989	1823	5853	5897
5	1990	1824	5867	5892c
10	1990	1824	5870	5918
5	1990	1824	5900	5941
10	1990	1824	5903	5937
10	1990	1824	5908	5941
10	1990	1824	5902	5931
5	1990	1825	5917	5941
5	1990	1825	5922	5953
5	1990	1825	5941	5980
5	1990	1825	5942	5983
15	1990	1825	5947	5984
10	1990	1825	5953	5988
5	1990	1825	5954	5979a
5	1990	1826	5963	5996
5	1990	1826	5965	5999
5	1990	1826	5974	6018
5	1990	1826	5984	6021
10	1990	1826	5979a	6024m
5	1990	1827	5998	6043
5	1990	1827	6024	6065
5	1990	1827	6021	6066
15	1990	1827	6031	6066
5	1990	1828	6034	6069
5	1990	1828	6043	6069
5	1990	1828	6042	6070m
5	1990	1828	6043m	6070
15	1990	1828	6051	6082
5	1990	1828	6054	6088
5	1990	1828	6066	6098
5	1990	1828	6064	6100
10	1990	1829	6078	6114
5	1990	1829	6090	6131
15	1990	1829	6090	6134a
5	1990	1829	6093	6120
5	1990	1830	6107	6149
5	1990	1830	6122	6164
5	1990	1830	6137	6174
5	1990	1830	6142	6188a
5	1990	1830	6126a	6172
5	1990	1831	6157	6192
5	1990	1831	6170	6208a
5	1990	1831	6176	6206
15	1990	1831	6176	6220
10	1990	1831	6172	6226
5	1990	1831	6172	6227
5	1990	1831	6192	6237
5	1990	1832	6194	6242
15	1990	1832	6205	6246
10	1990	1832	6214	6257
5	1990	1832	6224	6264
5	1990	1832	6227	6275
15	1990	1832	6236c	6267
5	1990	1832	6238	6285
10	1990	1832	6242	6283a
10	1990	1832	6241	6291
10	1990	1833	6262	6302
5	1990	1833	6275	6321
15	1990	1833	6279	6322
10	1990	1834	6299	6337
5	1990	1834	6306	6356
15	1990	1834	6313	6357
5	1990	1834	6318	6349
5	1990	1834	6319	6359
15	1990	1835	6350	6382
5	1990	1835	6350	6393
5	1990	1835	6349	6385
5	1990	1835	6349	6391a
10	1990	1836	6382	6422
10	1990	1836	6400	6423
