Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
1981	1708	3115	2444740.0416782405	2444745.7272106484	11	131.63727272727272	28.729090909090907	0.2437777777777778	0.6353333333333333	129.66	134.37	4.710000000000008	25.44	29.87	4.43
1981	1709	3164	2444768.021851852	2444774.917025463	15	131.40133333333333	20.16933333333333	0.2917777777777778	0.7598888888888891	125.32	134.41	9.090000000000003	18.8	25.78	6.98
1981	1713	3358	2444869.753657408	2444872.891689814	24	227.58250000000007	18.81125	0.29444444444444445	0.5155000000000001	225.5	228.11	2.6100000000000136	14.13	20.04	5.909999999999998
1981	1714	3408	2444894.8097453704	2444900.895104166	10	260.874	17.106	0.3517222222222222	0.7547777777777779	258.25	267.82	9.569999999999993	14.34	22.31	7.969999999999999
1989	1811	5351	2447560.820138889	2447569.0524652777	27	312.6711111111111	31.51962962962963	0.11355555555555555	0.6476111111111109	296.7	319.26	22.560000000000002	29.51	35.43	5.919999999999998
1990	1833	6249	2448137.7695949073	2448144.8426851854	100	250.98080000000002	15.328999999999999	0.05972222222222224	0.5848333333333333	247.83	253.24	5.409999999999997	14.71	18.67	3.960000000000001
1990	1834	6333	2448184.043275463	2448197.936875	70	299.67542857142854	23.876285714285714	0.04122222222222223	0.9639444444444444	340.92	9.23	28.309999999999985	21.61	26.07	4.460000000000001
1990	1837	6430	2448253.7375	2448262.8644097224	605	203.27456198347107	-7.92109090909091	0.2758333333333333	0.9475	201.66	204.89	3.2299999999999898	-15.19	-6.76	8.43
1992	1855	7163c	2448754.801273148	2448757.7887731483	3	64.75333333333333	7.150000000000001	0.2628888888888889	0.4593333333333334	62.48	67.98	5.500000000000007	5.32	8.38	3.0600000000000005
1998	1936	8224m	2450953.0854166667	2450958.874699074	22	214.98727272727274	-25.176363636363636	0.3801666666666667	0.6509999999999999	204.03	234.31	30.28	-26.46	-23.67	2.789999999999999
1998	1942	8369m	2451117.901087963	2451119.041365741	3	212.3066666666667	13.86	0.3957222222222223	0.4276111111111111	209.15	218.62	9.469999999999999	13.16	14.21	1.0500000000000007
1999	1944	8426m	2451186.0300694443	2451189.2159722224	3	58.673333333333325	-17.80666666666667	0.5073888888888889	0.7032777777777778	54.22	60.9	6.68	-19.3	-14.82	4.48
2000	1959	8853	2451574.9989814814	2451582.999259259	260	243.39469230769228	-14.148615384615383	0.03455555555555555	0.6362777777777778	240.68	249.46	8.780000000000001	-16.91	-10.27	6.640000000000001
2000	1967	9159	2451793.860115741	2451805.8154050927	398	237.4243718592965	-14.500552763819096	0.1931111111111111	0.9275555555555556	229.56	260.1	30.54000000000002	-15.53	-9.53	6.0
2001	1984	9737m	2452255.126759259	2452260.981122685	62	285.59887096774196	-18.533870967741933	0.2272222222222222	0.5195555555555555	274.54	299.25	24.70999999999998	-22.9	-17.28	5.619999999999997
2002	1985	9804	2452302.891585648	2452308.9170717592	243	26.037160493827155	-20.8240329218107	0.3086666666666667	0.6123888888888889	19.94	44.6	24.66	-22.25	-17.82	4.43
